dataMode,id,address,neighborhood,type,listDate,pendingDate,listPriceAtPending,closePrice,assessedValue,beds,baths,sqft,yearBuilt,zip,districtName,area,subArea,sqFtLot,zoning
PUBLIC_PROXY,3353503,"2565 4TH AVE W, Seattle 98119",2,11,2025-10-27,2025-10-27,1155000,1300000,1155000,3,2.00,1300,1912,98119,SEATTLE,12,2,5080,NR3
PUBLIC_PROXY,3343472,"7411 39TH AVE S, Seattle 98118",3,11,2025-08-13,2025-08-13,1022000,1150000,1022000,5,3.50,3030,2020,98118,SEATTLE,21,3,5323,NR3
PUBLIC_PROXY,3357448,"13739 WAYNE PL N UNIT 303, Seattle 98133",3,11,2025-11-20,2025-11-20,1245000,1250000,1245000,3,2.50,2230,2014,98133,SEATTLE,6,3,4457,NR3
PUBLIC_PROXY,3363634,"4812 NE 85TH ST, Seattle 98115",98115,50,2026-01-14,2026-01-14,1109200,1179641,1109200,0,0.00,0,0,98115,Seattle,,,0,
PUBLIC_PROXY,3360179,"5949 17TH AVE SW, Seattle 98106",5,11,2025-12-17,2025-12-17,930000,1200000,930000,4,2.25,3350,2007,98106,SEATTLE,18,5,6825,NR3
PUBLIC_PROXY,3357453,"4623 49TH AVENUE SOUTH, Seattle 98118",11,11,2025-11-25,2025-11-25,1094000,1200000,1094000,3,2.75,1740,1942,98118,SEATTLE,81,11,5465,NR3
PUBLIC_PROXY,3363489,"6411 14TH AVE NW, Seattle 98107",98107,14,2026-01-22,2026-01-22,1082000,1110000,1082000,0,0.00,0,0,98107,Seattle,,,0,
PUBLIC_PROXY,3357833,"4703 S HUDSON ST, Seattle 98118",11,11,2025-11-25,2025-11-25,931000,1228000,931000,4,2.50,2260,1957,98118,SEATTLE,81,11,5800,NR3
PUBLIC_PROXY,3354855,"1521 19TH AVE UNIT A, Seattle 98122",3,12,2025-11-05,2025-11-05,1298000,1227000,1298000,4,2.00,2160,1978,98122,SEATTLE,15,3,7804,LR1 (M)
PUBLIC_PROXY,3359374,"PO BOX 20321, Seattle 98102",3,11,2025-12-13,2025-12-13,1179000,1392000,1179000,4,3.00,3120,2016,98102,SEATTLE,18,3,5000,NR3
PUBLIC_PROXY,3361066,"633 THIRD AVE 19TH FLOOR SUITE J, Seattle 10017",0,50,2025-12-10,2025-12-10,995124,1300000,995124,0,0.00,0,0,10017,SEATTLE,0,0,0,NC3-75 (M)
PUBLIC_PROXY,3358717,"11624 SE 5TH ST SUITE 210, Seattle 98005",8,2,2025-12-01,2025-12-01,5581000,1274000,5581000,4,3.00,2690,2025,98005,SEATTLE,6,8,16623,NR3
PUBLIC_PROXY,3359196,"1100 WESTERN AVE, Seattle 98101",98101,11,2025-12-08,2025-12-08,1086000,1250000,1086000,3,3.25,2930,2005,98101,Seattle,,,0,
PUBLIC_PROXY,3350722,"515 WHISTLERS WALK, Seattle 78613",11,11,2025-10-02,2025-10-02,747000,1100000,747000,5,2.00,2020,1924,78613,SEATTLE,82,11,3860,NR3
PUBLIC_PROXY,3350024,"1250 ALKI AVENUE SW UNIT 3C, Seattle 98116",98116,14,2025-10-01,2025-10-01,1485000,1299000,1485000,0,0.00,0,0,98116,Seattle,,,0,
PUBLIC_PROXY,3352420,"2625 13TH AVE W UNIT 306, Seattle 98119",20,3,2025-10-13,2025-10-13,1160100,1260000,1160100,0,0.00,0,0,98119,SEATTLE,20,20,6000,LR2 (M)
PUBLIC_PROXY,3359848,"6045 SEWARD PARK AVENUE S, Seattle 98118",6,11,2025-12-15,2025-12-15,1120000,1275000,1120000,3,2.00,2660,1940,98118,SEATTLE,81,6,7500,NR2
PUBLIC_PROXY,3354272,"2817 19TH AVE S, Seattle 98144",1,11,2025-11-01,2025-11-01,997000,1400000,997000,4,2.50,2380,1958,98144,SEATTLE,79,1,6144,LR1 (M1)
PUBLIC_PROXY,3363393,"3257 37TH AVE SW, Seattle 98126",6,11,2026-01-21,2026-01-21,826000,1100000,826000,3,1.75,1720,1951,98126,SEATTLE,48,6,5000,NR3
PUBLIC_PROXY,3347101,"3519 E SPRUCE ST, Seattle 98122",98122,11,2025-09-10,2025-09-10,1250000,1230000,1250000,4,2.25,3060,1969,98122,Seattle,,,0,
PUBLIC_PROXY,3343191,"1829 29TH AVE, Seattle 98122",3,11,2025-08-14,2025-08-14,2269000,1305000,2269000,3,2.25,3570,1906,98122,SEATTLE,13,3,10000,NR3
PUBLIC_PROXY,3360181,"1024 1ST ST #203, Seattle 98290",2,2,2025-12-18,2025-12-18,1540000,1390000,1540000,4,3.50,2750,2025,98290,SEATTLE,7,2,7293,NR3
PUBLIC_PROXY,3343607,"605B NW 77TH ST, Seattle 98117",11,12,2025-08-18,2025-08-18,1066000,1100000,1066000,3,3.00,2050,2021,98117,SEATTLE,82,11,1281,LR1 (M1)
PUBLIC_PROXY,3347588,"500 WALL ST #1019, Seattle 98121",98121,14,2025-09-15,2025-09-15,1153000,1200000,1153000,0,0.00,0,0,98121,Seattle,,,0,
