dataMode,id,address,neighborhood,type,typeCode,addressSource,major,minor,parcelNbr,listDate,pendingDate,saleDate,listPriceAtPending,closePrice,assessedValue,beds,baths,sqft,yearBuilt,zip,districtName,area,subArea,sqFtLot,zoning,lat,lon
PUBLIC_PROXY,3358739,"4715 25TH AVE NE #427, SEATTLE WA 98105",Downtown,"Household, single family units",11,MAILING_STREET,600453,0240,6004530240,2025-12-03,2025-12-03,2025-12-03,661000,572250,661000,4,2.50,2340,1999,98105,Seattle,,,0,,,
PUBLIC_PROXY,3348665,"1403 N 36TH ST, SEATTLE WA 98103",Downtown,Residential condominiums,14,MAILING_STREET,291320,0170,2913200170,2025-09-22,2025-09-22,2025-09-22,357000,396000,357000,0,0.00,0,0,98103,Seattle,,,0,,,
PUBLIC_PROXY,3343756,"7311 35TH AVE SW, Seattle 98126",West Seattle / Delridge,"Household, single family units",11,SITUS_PROXY,431920,0700,4319200700,2025-08-15,2025-08-15,2025-08-15,886000,840000,886000,3,1.75,1450,1906,98126,SEATTLE,17,1,8374,NR2,47.53697816,-122.37711157
PUBLIC_PROXY,3343493,Parcel 276770-4695 (address unavailable),Ballard / Crown Hill,"Multiple family residence (Residential, 5+ units)",13,MAILING_FALLBACK,276770,4695,2767704695,2025-08-18,2025-08-18,2025-08-18,2919000,2698200,2919000,0,0.00,0,0,98039,SEATTLE,19,50,5000,LR3 (M),47.67258656,-122.37530826
PUBLIC_PROXY,3355005,"412 11TH AVE UNIT 408, SEATTLE WA 98122",Downtown,Residential condominiums,14,MAILING_STREET,236300,0400,2363000400,2025-11-06,2025-11-06,2025-11-06,363000,343000,363000,0,0.00,0,0,98122,Seattle,,,0,,,
PUBLIC_PROXY,3353860,"505 5TH AVE S STE #900, SEATTLE WA 98104",South Lake Union / Queen Anne,"Tenant occupied, commercial properties",59,MAILING_STREET,199120,0705,1991200705,2025-10-30,2025-10-30,2025-10-30,13712300,0,13712300,0,0.00,0,0,98104,SEATTLE,20,10,12720,SM-UP 160 (M),,
PUBLIC_PROXY,3349790,"1522 WESTERN AVE STE, SEATTLE WA 98101",Fremont / Green Lake / Wallingford,"Multiple family residence (Residential, 5+ units)",13,MAILING_STREET,408330,5590,4083305590,2025-09-10,2025-09-10,2025-09-10,2994000,3268000,2994000,0,0.00,0,0,98101,SEATTLE,17,10,6840,LR2 (M),47.65131172,-122.33594876
PUBLIC_PROXY,3344015,"2319 N 117TH ST, Seattle 98133",Northgate / Bitter Lake,LAND WITH PREV USED BLDG,3,SITUS_PROXY,641160,0085,6411600085,2025-08-20,2025-08-20,2025-08-20,1106000,0,1106000,5,2.75,3320,1950,98133,SEATTLE,6,5,13194,NR2,47.71375523,-122.33053696
PUBLIC_PROXY,3361028,"2316 17TH AVE S, Seattle 98144",Mount Baker / Central District,"Household, single family units",11,SITUS_PROXY,539360,0725,5393600725,2025-12-29,2025-12-29,2025-12-29,794000,794000,794000,5,2.00,2840,1926,98144,SEATTLE,79,1,6000,RSL (M),47.58240908,-122.31041108
PUBLIC_PROXY,3347531,"1425 SPRING STREET APT 1303, SEATTLE WA 98104",Downtown,"Household, single family units",11,MAILING_STREET,131120,0600,1311200600,2025-09-15,2025-09-15,2025-09-15,491000,515000,491000,3,1.50,1250,1963,98104,Seattle,,,0,,,
PUBLIC_PROXY,3346073,"2300 NW 97TH ST, Seattle 98117",Ballard / Crown Hill,"Household, single family units",11,SITUS_PROXY,057900,2095,0579002095,2025-09-03,2025-09-03,2025-09-03,1408000,0,1408000,4,2.25,2770,1959,98117,SEATTLE,39,6,7000,NR3,47.69994241,-122.38555857
PUBLIC_PROXY,3364718,"5300 BEACH DR SW, Seattle 98136",West Seattle / Fauntleroy,"Household, single family units",11,SITUS_PROXY,764940,0050,7649400050,2026-01-21,2026-01-21,2026-01-21,769000,620000,769000,3,1.00,1070,1975,98136,SEATTLE,16,7,5062,NR3,47.55466402,-122.39907567
PUBLIC_PROXY,3356045,"7526 28TH AVE NW, Seattle 98117",Ballard / Crown Hill,LAND WITH PREV USED BLDG,3,SITUS_PROXY,444380,0370,4443800370,2025-11-18,2025-11-18,2025-11-18,714000,0,714000,2,1.00,940,1916,98117,SEATTLE,19,10,4080,NR3,47.68391155,-122.39267888
PUBLIC_PROXY,3358252,"125 29TH AVE E, Seattle 98112",Capitol Hill / Central District,"Household, single family units",11,SITUS_PROXY,982870,1195,9828701195,2025-12-04,2025-12-04,2025-12-04,912000,905000,912000,4,1.75,2100,1916,98112,SEATTLE,15,4,4080,NR3,47.61967275,-122.29517144
PUBLIC_PROXY,3352228,"1911 NE 107TH ST, Seattle 98125",Lake City / North Seattle,"Household, single family units",11,SITUS_PROXY,890150,0190,8901500190,2025-10-17,2025-10-17,2025-10-17,855000,945000,855000,3,1.75,1980,1947,98125,SEATTLE,7,3,6750,NR2,47.70647234,-122.30765871
PUBLIC_PROXY,3343787,"2310 E PINE ST, Seattle 98122",Capitol Hill / Central District,"Household, single family units",11,SITUS_PROXY,722850,0055,7228500055,2025-08-19,2025-08-19,2025-08-19,771000,875000,771000,2,1.00,1510,1929,98122,SEATTLE,15,4,2340,LR1 (M1),47.61548733,-122.30211253
PUBLIC_PROXY,3358267,"9239 B ASHWORTH AVE N, Seattle 98103",Fremont / Green Lake / Wallingford,"Household, single family units",11,SITUS_PROXY,431070,2938,4310702938,2025-12-03,2025-12-03,2025-12-03,605000,664500,605000,3,2.50,1330,2003,98103,SEATTLE,6,7,1357,LR3 (M),47.69706233,-122.3401219
PUBLIC_PROXY,3359138,"7142 47TH AVE SW, Seattle",West Seattle / Fauntleroy,"Household, single family units",11,SITUS_PROXY,911600,0005,9116000005,2025-12-11,2025-12-11,2025-12-11,676000,775000,676000,3,2.50,1540,2024,98136,SEATTLE,16,7,1684,LR1 (M),47.53834557,-122.39287148
PUBLIC_PROXY,3362105,"319 NICKERSON ST #133, SEATTLE WA 98109",Downtown,LAND WITH PREV USED BLDG,3,MAILING_STREET,873270,0830,8732700830,2025-12-10,2025-12-10,2025-12-10,175000,410000,175000,0,0.00,0,0,98109,Seattle,,,0,,,
PUBLIC_PROXY,3362105,"319 NICKERSON ST #133, SEATTLE WA 98109",Downtown,LAND WITH PREV USED BLDG,3,MAILING_STREET,873270,0750,8732700750,2025-12-10,2025-12-10,2025-12-10,414000,410000,414000,2,0.75,820,1974,98109,Seattle,,,0,,,
PUBLIC_PROXY,3353503,"2565 4TH AVE W, Seattle 98119",Queen Anne / Magnolia,"Household, single family units",11,SITUS_PROXY,285120,0090,2851200090,2025-10-27,2025-10-27,2025-10-27,1155000,1300000,1155000,3,2.00,1300,1912,98119,SEATTLE,12,2,5080,NR3,47.64250981,-122.36262735
PUBLIC_PROXY,3357622,"4909 SW CANADA DR, Seattle 98136",West Seattle / Fauntleroy,"Household, single family units",11,SITUS_PROXY,764940,0370,7649400370,2025-10-08,2025-10-08,2025-10-08,648000,675000,648000,2,1.00,960,1900,98136,SEATTLE,16,7,5125,NR3,47.55414611,-122.39533901
PUBLIC_PROXY,3347866,Parcel 881990-0010 (address unavailable),University District / Laurelhurst,"Tenant occupied, commercial properties",59,MAILING_FALLBACK,881990,0010,8819900010,2025-09-17,2025-09-17,2025-09-17,1900800,2100000,1900800,0,0.00,0,0,98115,SEATTLE,17,70,4280,NC1-55 (M),,
PUBLIC_PROXY,3346197,"3665 STONE WAY N APT 635, SEATTLE WA 98103",Downtown,Residential condominiums,14,MAILING_STREET,425300,0150,4253000150,2025-09-05,2025-09-05,2025-09-05,1754500,1850000,1754500,0,0.00,0,0,98103,Seattle,,,0,,,
PUBLIC_PROXY,3358423,"1123 16TH AVE E, Seattle 98112",Capitol Hill / Madison Park,"Household, single family units",11,SITUS_PROXY,133780,0655,1337800655,2025-12-01,2025-12-01,2025-12-01,1796000,0,1796000,3,1.75,2120,1906,98112,SEATTLE,13,3,4800,NR3,47.62940466,-122.311638
PUBLIC_PROXY,3351431,"920 5TH AVENUE SUITE 1510, SEATTLE WA 98104",Downtown,"Tenant occupied, commercial properties",59,MAILING_STREET,720170,0081,7201700081,2025-10-14,2025-10-14,2025-10-14,2153300,4050000,2153300,0,0.00,0,0,98104,Seattle,,,0,,,
PUBLIC_PROXY,3344640,"5623 31ST AVENUE SOUTHWEST, SEATTLE WA 98126",Downtown,Residential condominiums,14,MAILING_STREET,813885,0360,8138850360,2025-08-22,2025-08-22,2025-08-22,237000,255000,237000,0,0.00,0,0,98126,Seattle,,,0,,,
PUBLIC_PROXY,3358416,"2033 2ND AVENUE UNIT 1608, SEATTLE WA 98121",Downtown,Residential condominiums,14,MAILING_STREET,184305,1280,1843051280,2025-12-06,2025-12-06,2025-12-06,566000,535000,566000,0,0.00,0,0,98121,Seattle,,,0,,,
PUBLIC_PROXY,3357093,"9802 CALIFORNIA AVE SW, Seattle 98136",West Seattle / Delridge,LAND WITH PREV USED BLDG,3,SITUS_PROXY,312380,0005,3123800005,2025-11-02,2025-11-02,2025-11-02,747000,0,747000,3,1.00,1390,1938,98136,SEATTLE,17,3,7998,NR2,47.51546908,-122.38703221
PUBLIC_PROXY,3363481,"8430 25TH AVE SW #C, SEATTLE WA 98106",Downtown,Residential condominiums,14,MAILING_STREET,440040,1050,4400401050,2026-01-14,2026-01-14,2026-01-14,363000,0,363000,0,0.00,0,0,98106,Seattle,,,0,,,
PUBLIC_PROXY,3343472,"8331 44TH AVE S, Seattle",Columbia City / Rainier Valley,"Household, single family units",11,SITUS_PROXY,400600,0255,4006000255,2025-08-13,2025-08-13,2025-08-13,1022000,1150000,1022000,5,3.50,3030,2020,98118,SEATTLE,21,3,5323,NR3,47.52823025,-122.27829188
PUBLIC_PROXY,3354130,"2417 2ND AVE W, Seattle 98119",Queen Anne / Magnolia,"Household, single family units",11,SITUS_PROXY,265250,2180,2652502180,2025-10-29,2025-10-29,2025-10-29,1339000,0,1339000,4,2.25,2110,1908,98119,SEATTLE,12,2,3600,NR3,47.64013045,-122.3599799
PUBLIC_PROXY,3364256,"8524 23RD AVE NE, Seattle 98115",Ravenna / Wedgwood,"Multiple family residence (Residential, 2-4 units)",12,SITUS_PROXY,510140,0514,5101400514,2026-01-29,2026-01-29,2026-01-29,1114000,920000,1114000,3,3.00,1640,2024,98115,SEATTLE,45,4,2477,LR1 (M),47.69097033,-122.30383782
PUBLIC_PROXY,3350871,"601 BELMONT AVE E #B-8, SEATTLE WA 98102",Downtown,LAND WITH PREV USED BLDG,3,MAILING_STREET,771460,1290,7714601290,2025-10-10,2025-10-10,2025-10-10,20000,0,20000,0,0.00,0,0,98102,Seattle,,,0,,,
PUBLIC_PROXY,3350871,"601 BELMONT AVE E #B-8, SEATTLE WA 98102",Downtown,LAND WITH PREV USED BLDG,3,MAILING_STREET,771460,0170,7714600170,2025-10-10,2025-10-10,2025-10-10,692000,0,692000,0,0.00,0,0,98102,Seattle,,,0,,,
PUBLIC_PROXY,3350871,"601 BELMONT AVE E #B-8, SEATTLE WA 98102",Downtown,LAND WITH PREV USED BLDG,3,MAILING_STREET,771460,1280,7714601280,2025-10-10,2025-10-10,2025-10-10,20000,0,20000,0,0.00,0,0,98102,Seattle,,,0,,,
PUBLIC_PROXY,3352465,"1517 31ST AVE S, Seattle 98144",Mount Baker / Central District,"Household, single family units",11,SITUS_PROXY,690970,0265,6909700265,2025-10-21,2025-10-21,2025-10-21,1502000,1649900,1502000,4,2.50,3120,1907,98144,SEATTLE,79,2,3487,LR1 (M),47.58892238,-122.29285657
