fetchedAt,queryLabel,soldDate,redfinPropertyId,redfinListingId,mlsListingNumber,mlsStatus,address,unitNumber,city,state,zip,neighborhood,propertyType,uiPropertyType,yearBuilt,beds,baths,fullBaths,sqft,lotSize,stories,soldPrice,pricePerSqFt,hoaMonthly,domDays,timeOnRedfinMs,listingAgentName,listingBrokerName,sellingBrokerName,lat,lon,redfinUrl
2026-09-19T20:39:35.232Z,Beacon Hill,2026-09-18,101611660,222082396,2562944,Closed,1753 18th Ave S,,Seattle,WA,98144,Beacon Hill,Townhouse,3,2015,3,2,2,1580,1336,1.5,765000,484,,,,Alessandro Albi,"Windermere RE/Capitol Hill,Inc",Homes & Equity Real Estate Grp,47.5874531,-122.3099321,https://www.redfin.com/WA/Seattle/1753-18th-Ave-S-98144/home/101611660
2026-09-19T20:39:35.232Z,Ballard (specific),2026-09-18,109413891,222897785,2573582,Closed,2220 B NW 62nd St,,Seattle,WA,98107,Ballard,Townhouse,3,2026,4,2.5,2,1611,1249,1.5,885000,549,0,,,Jen Hunter,COMPASS,Real Broker LLC,47.6740103,-122.3856182,https://www.redfin.com/WA/Seattle/2220-NW-62nd-St-98107/home/109413891
2026-09-19T20:39:35.232Z,Central Seattle,2026-09-18,12319134,213162788,2491514,Closed,2814 E Spring St,,Seattle,WA,98122,Madrona,Townhouse,3,2007,2,2.5,2,1425,965,1.5,700000,491,,,,David Palmer,Redfin,Real Broker LLC,47.6120219,-122.2955451,https://www.redfin.com/WA/Seattle/2814-E-Spring-St-98122/home/12319134
2026-09-19T20:39:35.232Z,West Seattle,2026-09-18,153573,214090172,2506010,Closed,4319 SW Mills St,,Seattle,WA,98136,Gatewood,Single Family,1,1913,2,1,1,1720,5100,1,525000,305,,,,Tamara Paul,RE/MAX Northwest,RSVP Brokers ERA,47.541276,-122.388229,https://www.redfin.com/WA/Seattle/4319-SW-Mills-St-98136/home/153573
2026-09-19T20:39:35.232Z,Northgate,2026-09-18,191489416,213658624,2502137,Closed,13718 N Midvale Ave Unit C,Unit C,Seattle,WA,98133,Seattle,Townhouse,3,2007,3,2.5,2,1510,1262,1.5,510000,338,,,,Sai Kit Lam,Specialty Real Estate Group,Realty ONE Group Orca Gold,47.7293616,-122.3434466,https://www.redfin.com/WA/Seattle/13718-Midvale-Ave-N-98133/unit-C/home/191489416
2026-09-19T20:39:35.232Z,NW Seattle,2026-09-18,288225,223120409,2576188,Closed,10561 15th Ave NW,,Seattle,WA,98177,Blue Ridge,Single Family,1,1940,4,3,3,2870,8393,2,1550000,540,161,,,,Coldwell Banker Bain,Redfin,47.7068832,-122.3770387,https://www.redfin.com/WA/Seattle/10561-15th-Ave-NW-98177/home/288225
2026-09-19T20:39:35.232Z,Wallingford,2026-09-18,305027,221191265,2558942,Closed,311 NE 59th St,,Seattle,WA,98105,Green Lake,Single Family,1,2024,4,3.5,3,2691,2652,3,1850000,687,10,,,Michael Carnovale,Alchemy Real Estate,"Skyline Properties, Inc.",47.6713544,-122.3250065,https://www.redfin.com/WA/Seattle/311-NE-59th-St-98105/home/305027
2026-09-19T20:39:35.232Z,Green Lake,2026-09-18,305342,216571584,2522704,Closed,2112 N 64th St,,Seattle,WA,98103,Green Lake,Single Family,1,1997,4,3.5,3,3110,3000,2,2200000,707,,,,Stephen Macdonald,COMPASS,Lake & Company,47.675385,-122.332691,https://www.redfin.com/WA/Seattle/2112-N-64th-St-98103/home/305342
2026-09-19T20:39:35.232Z,West Seattle,2026-09-18,328722,222912561,2561929,Closed,2916 Walnut Ave SW,,Seattle,WA,98116,Admiral,Single Family,1,1918,2,1,1,1760,5750,1,885000,503,,,,Jacob Matalon,Windermere Real Estate Co.,Windermere Real Estate Co.,47.577732,-122.3830437,https://www.redfin.com/WA/Seattle/2916-Walnut-Ave-SW-98116/home/328722
2026-09-19T20:39:35.232Z,NW Seattle,2026-09-18,496475,221957652,2564319,Closed,310 NW 75th St,,Seattle,WA,98117,Phinney Ridge,Single Family,1,1941,2,2,2,1920,5150,1,910000,474,,,,Darrin Stumpf,Real Broker LLC,KW Greater Seattle,47.6834708,-122.3611808,https://www.redfin.com/WA/Seattle/310-NW-75th-St-98117/home/496475
2026-09-19T20:39:35.232Z,Central Seattle,2026-09-18,74901522,222940375,2574220,Closed,906 13th Ave Unit B,Unit B,Seattle,WA,98122,Capitol Hill,Townhouse,3,2015,2,2,2,1422,525,1.5,700000,492,,,,Karishma Kiri,Windermere Real Estate/East,Cornerstone Assoc Real Estate,47.6106886,-122.3150792,https://www.redfin.com/WA/Seattle/906-13th-Ave-98122/unit-B/home/74901522
2026-09-19T20:39:35.232Z,NE Seattle,2026-09-17,121499,223122936,2577536,Closed,3023 E Laurelhurst Dr NE,,Seattle,WA,98105,Laurelhurst,Single Family,1,1950,4,3.5,3,4370,10260,2,2760000,632,,,,Shannon Campbell,COMPASS,Windermere Real Estate Co.,47.6494026,-122.2763631,https://www.redfin.com/WA/Seattle/3023-E-Laurelhurst-Dr-NE-98105/home/121499
2026-09-19T20:39:35.232Z,West Seattle,2026-09-17,159990,222693363,2571694,Closed,6327 34th Ave SW,,Seattle,WA,98126,West Seattle,Single Family,1,1929,4,3,3,2760,3331,2,915000,332,,,,Lisa Fisher,Real Broker LLC,Keller Williams Eastside,47.5457913,-122.375381,https://www.redfin.com/WA/Seattle/6327-34th-Ave-SW-98126/home/159990
2026-09-19T20:39:35.232Z,Ballard (specific),2026-09-17,162895,222316508,2566961,Closed,5605 30th Ave NW,,Seattle,WA,98107,Ballard,Townhouse,3,2005,3,3.5,3,2270,2613,1.5,1160000,511,,,,Gigi Yin,AgencyOne,Real Broker LLC,47.6696782,-122.3958465,https://www.redfin.com/WA/Seattle/5605-30th-Ave-NW-98107/home/162895
2026-09-19T20:39:35.232Z,Wallingford,2026-09-17,18661279,220939715,2555631,Closed,3609 Interlake Ave N Unit A,Unit A,Seattle,WA,98103,Wallingford,Townhouse,3,2008,3,2.5,2,1720,1079,1.5,960000,558,,,,Ashley Heerman,Real Broker LLC,Lake & Company,47.6508825,-122.3416176,https://www.redfin.com/WA/Seattle/3609-Interlake-Ave-N-98103/unit-A/home/18661279
2026-09-19T20:39:35.232Z,Wallingford,2026-09-17,204433469,222128743,2566529,Closed,1413 A N 48th St,,Seattle,WA,98103,Wallingford,Townhouse,3,2026,3,2.5,2,1640,1112,1.5,989000,603,,,,Deborah Song,Windermere Real Estate/East,Designed Realty,47.66329,-122.340015,https://www.redfin.com/WA/Seattle/1413-A-N-48th-St-98103/home/204433469
