sourceFile,region,listingNumber,status,apn,address,zip,listingDate,pendingDate,contractualDate,sellingDate,listingPrice,originalPrice,sellingPrice,bidUpAmount,bidUpPct,saleToListRatio,dom,cdom,daysToPending,daysPendingToSale,beds,baths,sqft,yearBuilt,styleCode,subdivision,hasPendingContext,missingReasons,zillowUrl,kingCountyUrl
NE Seattle Rich Snapshot.csv,NE Seattle,2495159,Sold,1868902365,"6210 28th Ave NE, Seattle WA 98115",98115,2026-03-19,,2026-03-19,2026-03-19,1515000,1515000,1515000,0,0,1,,0,,,4,2.75,2260,1925,18 - 2 Stories w/Bsmnt,Bryant,false,missing_pending_date,https://www.zillow.com/homes/6210-28th-ave-ne-seattle-wa-98115_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1868902365
NW Seattle Rich Snapshot.csv,NW Seattle,2494636,Sold,9144100067,"9629 Mary Ave NW, Seattle WA 98117",98117,2026-03-17,,2026-03-17,2026-03-17,805000,805000,805000,0,0,1,,0,,,3,1,1050,1950,10 - 1 Story,Crown Hill,false,missing_pending_date,https://www.zillow.com/homes/9629-mary-ave-nw-seattle-wa-98117_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=9144100067
Central Seattle Rich Snapshot.csv,Central Seattle,2490816,Sold,5332200027,"626 Lake Washington Blvd E, Seattle WA 98112",98112,2026-03-10,,2026-03-10,2026-03-10,819000,819000,819000,0,0,1,,0,,,2,2.5,1360,1997,32 - Townhouse,Madison Park,false,missing_pending_date,https://www.zillow.com/homes/626-lake-washington-blvd-e-seattle-wa-98112_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5332200027
NE Seattle Rich Snapshot.csv,NE Seattle,2490015,Sold,7697100070,"3057 NE 86th St, Seattle WA 98115",98115,2026-03-06,,2026-03-06,2026-03-06,1350000,1350000,1350000,0,0,1,,0,,,6,2,2620,1946,17 - 1 1/2 Stry w/Bsmt,Wedgwood,false,missing_pending_date,https://www.zillow.com/homes/3057-ne-86th-st-seattle-wa-98115_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=7697100070
NE Seattle Rich Snapshot.csv,NE Seattle,2487973,Sold,,"1012 NE 70th St, Seattle WA 98115",98115,2026-03-03,,2026-03-03,2026-03-03,1100100,1100100,1100100,0,0,1,,0,,,3,2.75,1639,2026,32 - Townhouse,Roosevelt,false,missing_pending_date,https://www.zillow.com/homes/1012-ne-70th-st-seattle-wa-98115_rb/,
NW Seattle Rich Snapshot.csv,NW Seattle,2487209,Sold,0579001970,"2333 NW 98th St, Seattle WA 98117",98117,2026-03-03,,2026-03-03,2026-03-03,1400000,1400000,1400000,0,0,1,,0,,,3,2.5,2800,1958,14 - Split Entry,North Beach,false,missing_pending_date,https://www.zillow.com/homes/2333-nw-98th-st-seattle-wa-98117_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0579001970
NW Seattle Rich Snapshot.csv,NW Seattle,2487180,Sold,7518505770,"6755 21st Ave NW, Seattle WA 98117",98117,2026-02-27,,2026-02-27,2026-02-27,830000,830000,830000,0,0,1,,0,,,3,1,5100,1900,18 - 2 Stories w/Bsmnt,Ballard,false,missing_pending_date,https://www.zillow.com/homes/6755-21st-ave-nw-seattle-wa-98117_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=7518505770
NW Seattle Rich Snapshot.csv,NW Seattle,2488644,Sold,,"8321 25th Ave NW A, Seattle WA 98117",98117,2026-02-27,,2026-02-27,2026-02-27,1365000,1365000,1365000,0,0,1,,0,,,4,3.5,2350,2026,34 - Condo (3 Levels),Loyal Heights,false,missing_pending_date,https://www.zillow.com/homes/8321-25th-ave-nw-a-seattle-wa-98117_rb/,
QA_Magnolia Rich Snapshot.csv,QA Magnolia,2484329,Sold,6821102035,"3215 31st Ave W, Seattle WA 98199",98199,2026-02-24,,2026-02-24,2026-02-24,835000,835000,835000,0,0,1,,0,,,2,2,990,1942,16 - 1 Story w/Bsmnt.,Magnolia,false,missing_pending_date,https://www.zillow.com/homes/3215-31st-ave-w-seattle-wa-98199_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=6821102035
QA_Magnolia Rich Snapshot.csv,QA Magnolia,2483874,Sold,0809002697,"2106 1st Ave N, Seattle WA 98109",98109,2026-02-23,,2026-02-23,2026-02-23,1219000,1219000,1219000,0,0,1,,0,,,3,2.5,1568,2025,32 - Townhouse,Queen Anne,false,missing_pending_date,https://www.zillow.com/homes/2106-1st-ave-n-seattle-wa-98109_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0809002697
